countrycode,seriescode,Description
BTN,ST.INT.XPND.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
BTN,ST.INT.TRNR.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
BTN,IT.NET.BBND.P2,"Bhutan Information, Communications and Media Authority, Ministry of Information and Communications."
BTN,EG.ELC.RNEW.ZS,Sources: UN Energy Statistics (2014)
BTN,ST.INT.DPRT,Includes overnight visitors (tourists) and same-day visitors (excursionists).
BTN,SP.DYN.LE00.MA.IN,Data source: United Nations World Population Prospects
BTN,IT.MLT.MAIN,"Bhutan Information, Communications and Media Authority, Ministry of Information and Communications."
BTN,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data for 2024 are World Bank staff estimates. Short-term debt data for 2024 are based on data from the BIS. DSSI eligible and not participating in 2020 or 2021.
BTN,ST.INT.ARVL,Includes overnight visitors (tourists) only. Arrivals of non-resident tourists at national borders. The huge margin of difference from 2010 as compared to the previous years is because starting from 2010 the regional high end tourists are included in the total figures.
BTN,EG.EGY.PRIM.PP.KD,"Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014)"
BTN,IT.MLT.MAIN.P2,"Bhutan Information, Communications and Media Authority, Ministry of Information and Communications."
BTN,SP.POP.GROW,Data source: United Nations World Population Prospects
BTN,ST.INT.TVLR.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
BTN,SP.DYN.AMRT.FE,Data source: United Nations World Population Prospects
BTN,SM.POP.NETM,Data source: United Nations World Population Prospects
BTN,ST.INT.RCPT.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database. 1995-2005: country data.
BTN,SP.DYN.LE00.IN,Data source: United Nations World Population Prospects
BTN,IT.CEL.SETS,"Bhutan Information, Communications and Media Authority, Ministry of Information and Communications."
BTN,SP.DYN.CBRT.IN,Data source: United Nations World Population Prospects
BTN,EG.FEC.RNEW.ZS,Sources: UN Energy Statistics (2014)
BTN,ST.INT.TRNX.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
BTN,ST.INT.TVLX.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
BTN,SP.DYN.CDRT.IN,Data source: United Nations World Population Prospects
BTN,IT.NET.BBND,"Bhutan Information, Communications and Media Authority, Ministry of Information and Communications."
BTN,SP.DYN.AMRT.MA,Data source: United Nations World Population Prospects
BTN,IT.NET.USER.ZS,"Bhutan Information, Communications and Media Authority, Ministry of Information and Communications."
BTN,SP.DYN.LE00.FE.IN,Data source: United Nations World Population Prospects
CHN,ST.INT.ARVL,"Includes overnight visitors (tourists) and same-day visitors (excursionists). Arrivals of non-resident visitors at national borders. Including ethnic Chinese arriving from ""Hong Kong, China"", ""Macao, China"", ""Taiwan, Province of China"" and overseas Chinese, of which most same-day visitors are from ""Hong Kong, China"" and ""Macao, China"". From 2016: including arrivals of non-residents visitors through border areas in China. The data are not comparable with those of previous years."
CHN,SP.POP.65UP.TO.ZS,"Excluding Hong Kong SAR, China; Macao SAR, China; Taiwan, China."
CHN,SP.DYN.LE00.FE.IN,Data source: United Nations World Population Prospects
CHN,EG.ELC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
CHN,MS.MIL.XPND.CD,1989-2021 SIPRI estimates.
CHN,SP.POP.65UP.MA.ZS,"Excluding Hong Kong SAR, China; Macao SAR, China; Taiwan, China."
CHN,SP.POP.BRTH.MF,"The data for China do not include Hong Kong SAR, China; Macao SAR, China; and Taiwan, China."
CHN,SP.DYN.LE00.IN,Data source: United Nations World Population Prospects
CHN,SP.POP.65UP.FE.ZS,"Excluding Hong Kong SAR, China; Macao SAR, China; Taiwan, China."
CHN,SM.POP.NETM,Data source: United Nations World Population Prospects
CHN,SP.POP.1564.TO.ZS,"Excluding Hong Kong SAR, China; Macao SAR, China; Taiwan, China."
CHN,CM.MKT.TRNR,Method of calculation: Total domestic value of share trading of Shanghai Stock Exchange and Shenzhen Stock Exchange divided by the total domestic market capitalization of the two exchanges.
CHN,ST.INT.RCPT.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
CHN,ST.INT.TRNX.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
CHN,IT.MLT.MAIN.P2,Ministry of Information Industry (MII). Ministry of Industry and Information Technology.
CHN,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2024 are World Bank staff estimates based on country aggregate reports. Short-term debt data for 2024 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).
CHN,SP.DYN.LE00.MA.IN,Data source: United Nations World Population Prospects
CHN,EG.FEC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
CHN,IS.RRS.GOOD.MT.K6,Source: OECD
